Title,URL,Address,Compensation,Employment Type,Description 
Junior Architect,https://newyork.craigslist.org/brk/egr/d/brooklyn-junior-architect/6844493915.html,BROOKLYN,*Applications without salary requirements will not be considered.,full-time,"
        
IMC Architecture is a boutique start-up firm looking for a talented individual to help grow our practice. Our work includes ground up and renovation of medium to large scale multi-family residential, commercial and mixed-use projects.

Responsibilities will include site surveying, production of design development and construction documents, site meetings, and direct client interaction. Candidates must be self-motivated, reliable and able to manage all aspects of a project. 

Candidate Qualifications:

Bachelors or Master's degree in Architecture.
2-4 years professional experience in an architectural office.
Be familiar with NYC codes and zoning.
Knowledge of construction materials, details and methods.
Proficiency in Revit.
We are looking for highly motivated individuals who are willing to take on responsibility and grow with our team. We encourage people who are detail-oriented, collaborative, and eager to take on challenges to contact us.

Qualified individuals should:

Submit PDF resumes and work samples (not to exceed 5 MB) to: info@imcarch.com
Provide salary requirements in the body of your cover letter. *Applications without salary requirements will not be considered.    "
FULL TIME PLUMBING/ SPRINKLER ENGINEER CAD/ REVIT BROOKLYN,https://newyork.craigslist.org/brk/egr/d/brooklyn-full-time-plumbing-sprinkler/6844506650.html,BROOKLYN,GREAT STARTING SALARY WITH ROOM TO GROW,full-time,"
        
BROOKLYN BASED ENGINEERING CONSULTING FIRM NOW HIRING FULL TIME PLUMBING / SPRINKLER DRAFTERS AND ENGINEERS USING CAD AND REVIT. KNOWLEDGE IN MICROSOFT OFFICE A MUST. FAST GROWING FIRM. GREAT STARTING SALARY WITH LOTS OF ROOM TO GROW. EXCELLENT WORK ENVIRONMENT.    "
Construction Purchase Coordinator,https://newyork.craigslist.org/lgi/egr/d/hewlett-construction-purchase/6844538427.html,Long Island,Starting at $50k commensurate with experience,full-time,"
        
For over 2 decades our company has been building luxury residential homes on Long Island with precise details that satisfy our discerning clientele.  Our growing needs have developed an opportunity for a Purchasing Coordinator to work in all phases of construction.   A minimum 3 year's experience in construction operation is required. College degree preferred.  You will collaborate with staff, contractors and variety of trades daily. Prepare take-offs, negotiate, execute material orders,  and oversee deliveries.  Must be able to read blue prints and have PC skills.  Excellent writing, verbal and problem-solving skills are a must.  If you like working in a fast paced environment and possess these skills, we would definitely like to meet you.    "
EXPEDITER,https://newyork.craigslist.org/brk/egr/d/brooklyn-expediter/6844670627.html,,Based on Experience,full-time,"
        
CORE Consultants is a Brooklyn based expediting company seeking an experienced full-time NYC Expediter/Project Manager for work in the five boroughs of New York City.

We are explicitly looking for someone that already has experience with the NYC Department of Buildings and possesses a valid Class 1 or 2 Filing Representative License. 

Some of our work is as follows:

Preparation of Alteration Type I and II applications, filing of applications, acquiring work permits, meeting with examiners for approval, removing violations with DOB/ECB and FDNY, attending C of O inspections, scheduling and attending violation removal inspections, ECB hearings, meetings with Deputy Borough Commissioners, Chief Plan's examiners, meetings with developers, property managers and homeowners. Constant updates to clients by sending detailed emails, occasional creation of spreadsheets, and reports to be sent to clients, tracking and coordination of all work. 

Candidate Qualifications:
- Ability to communicate with clients
- Excellent writing skills
- The ability to speak clear
- Strong organization skills
- Be fluent in English 
- Punctuality is a must
- Be able to work with a team

We are looking for highly motivated individuals who are willing to take on responsibilities and grow with our team. We are ready to hire you today if you qualify and have the experience we are looking for. 

Please respond with your resume and your salary requirements. We look forward to hearing from you. 

Qualified individuals should:

Submit PDF resumes and cover letters to info@CoreconsultantsNYC.com.

Provide salary requirements in the body of your cover letter. *Applications without salary requirements will not be considered

Thank you.    "
Landscape Designer/Architect - Landscape sales,https://newyork.craigslist.org/fct/egr/d/landscape-designer-architect-landscape/6844683933.html,New Canaan,Based on experience and skill. Excellent benefit program,full-time,"
        
Elise Landscape Design Group

Landscape Sales professional and landscape designer/architect to join our team. We design and build creative, integrated landscape plans for high-end residential clients.

Candidates should have a proven record in residential landscape sales with the ability to present and communicate to a sophisticated client base. Autocad or equivalent software abilities a plus. Designing and selling landscapes with style for the high-end residential market key!
Applicants with a landscape design background and exterior design are appropriate for this position.

You'll find us in New Canaan in an attractive work environment with an exceptional benefits, salary and retirement package.

Interested candidates should forward resumes and letter of interest.

The Elise Design Group and Elise Landscapes & Nursery is an established award winning Landscape Design and Build firm serving the greater Fairfield and Westchester County areas. Our company provides high quality, innovative landscape design, construction and maintenance services as well as retailing landscape plantings, unique garden elements and furnishings.

Position Requirements:
Minimum of 5 years, high-end residential landscape sales experience
Degree in Landscape Design/Architecture/interior design preferred
The ability to present and communicate design concepts clearly to a sophisticated client base.
Proficiency with landscape design software and related office software
General knowledge of permitting and zoning processes
Desire to grow professionally

    "
Project Manager - Electrical / Data Construction - Large Firm,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager/6844739577.html,,Compensation based off of experience,full-time,"
        
Company Overview: 
H&L Electric is a leading, large-scale electrical contractor in NYC.  We are a family owned and operated business.  Our projects include data centers, museums, hotels, Telecom infrastructure, Sports Arenas, and office spaces for some of the leading companies and venues in the New York City area.  For more information about H&L Electric visit us at www.HLElectric.com

About The Role: 
H&L Electric is looking for a full time Project Manager with a minimum of 5-15 year's experience.  This position will work under one of the owners of the company.  They will be responsible for their own projects as well as assisting the owner and other Project Managers in all aspects of electrical and communications construction projects to ensure project success.

If you have knowledge and experience with Data cable and fiber wiring layout and install please be sure to note on resume.  This is a big plus. 

Job Function: 
-	Ensure field supervision has the instruction, material, and support that they need to succeed
-	Address client and vendor concerns
-	Proposal preparation and review
-	RFI preparation and review
-	Submittal tracking
-	Monitor status of projects
-	Contract administration
-	Prepare billing requests
-	Prepare basic estimates 
-	Attend project meetings
-	Conduct and prepare post-project analysis
-	Take initiative and spear head initiatives to improve business practices

Requirements: 
-	5 - 15 years of experience as a project manager in the electrical / communications industry 
-	Proficiency in Microsoft Office
-	Knowledge of electrical construction
-	Strong research and sourcing skills
-	Must be able to manage multiple projects at once. 
-	Demonstrate excellent verbal and written communication 
-	Travel to projects within NYC

Preferred Qualifications: 
-	Hands on electrical construction field experience
-	Cooper and fiber install knowledge
-	Radio RF cable antenna install knowledge
-	Knowledge of Blue Beam and AutoCAD
-	Prior electrical estimating experience
-	Proficient in Google Suite of products 

This position has excellent career advancement opportunities.  Most of our project managers have grown with the company since their employment. 

Additional Information: 
H&L Electric is located in Long Island City Queens. Easily accessible by the 7, N,W,R,E,M, and F train. 

H&L Electric is an Equal Opportunity Employer
    "
Estimator/Project Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-city-estimator-project-manager/6844983415.html,Midtown,"$60,000-$65,000 a year",full-time,"
        
NYC Construction Firm looking for a dynamic Jr Estimator with 3-5 years experience to grow with our team.
Responsibilities:
• Assist in bid process inclusive of preparation of detailed bid packages and assure accurate and proper submissions/proposals by all sub-contractors.
• Create drobox link, identify applicable trades, send drawings out and daily follow ups

Computer Skills & Qualifications:

• Proficient in MS Office,Excel and Word
• On Screen take off (PlanswiftEstimating Software a plus

 Qualifications:
• Some College In related construction/engineering/architecture 
. Most have minimum 2 years experience 
• Must be able to efficiently multi task
• Fine attention to detail
• Ability to work well under pressure of deadlines and meet

Please send resumes and cover letters directly to :   astubbolo@dynamicconstruction.com    "
Assistant Violations Project Manager for TOP Expediting Firm!!,https://newyork.craigslist.org/mnh/egr/d/new-york-city-assistant-violations/6845195870.html,Midtown West,DOE,full-time,"
        
Outsource is the leading provider of Building Code and Zoning Consultation, offering a broad scope of services that includes Approvals, Permit Expediting, and Sign Offs. Outsource prides itself on unparalleled expert representation to architects, engineers, building owners, building managers, attorneys, and contractors. Our encyclopedic knowledge of the Municipal Building Codes and Zoning Laws that regulate construction enables us to navigate projects efficiently and quickly through the application, approval, and sign off processes. The final result is the successful completion of all our projects and absolute customer satisfaction.

We have an immediate opening for: 

•	Assistant Violations Project Manager

Awesome team-oriented work environment and company benefits package.

Company Perks:

- Paid vacation and personal days
- Paid Holidays 
- Health, Dental, Vision Insurance
- 401K
- Company funded HRA
- Bonus opportunities

- Chance to grow with a dynamic expediting firm who works with elite clients.


This is a fast-paced position that demands an organized, diligent, and detail-oriented candidate.
Successful candidates must be self-motivated (punctual), able to work well in an entrepreneurial environment and be a team player. Equal Opportunity Employer M/F/D/V

Please apply on our careers page:

    "
ENGINEERS NEEDED IMMEDIATELY,https://newyork.craigslist.org/mnh/egr/d/new-york-city-engineers-needed/6845203065.html,,Highly Competitive!,full-time,"
        
    "
PART TIME  PRODUCT ENGINEERING & DEVELOP'T  POSITION,https://newyork.craigslist.org/brk/egr/d/brooklyn-part-time-product-engineering/6845204274.html,Brooklyn,to be discussed,part-time,"
        
We are a lighting fixture design studio looking for an industrial designer/ mechanical engineer
to engineer / 3D model / draw lighting fixtures

-Work includes finding creative solutions to engineer and develop lighting fixture designs
-Industrial / Product design experience preferable
-Please only apply if you have experience with either SolidWorks, Inventor, or OnShape
-Fabrication experience and knowledge needed

- Please ONLY submit your resume if you live in the NYC area, as you will need to come to our Brooklyn design studio to work 
-Flexible schedule, but no weekends    "
Draftsperson/Project Manager,https://newyork.craigslist.org/que/egr/d/astoria-draftsperson-project-manager/6845297488.html,Astoria,TBD,full-time,"
        
Description
New York Custom Interior Millwork is looking for an organized and detail oriented individual to become our newest draftsperson and project manager. This multifaceted role is essential to our business and is driven by the needs of our clients. You will be responsible for the successful competition of detailed shop drawings with the use of AutoCAD and the overseeing of our ongoing projects. You will be working directly with clients to bring their visions to life. Also, you will be working closely with our employees to ensure all projects are running smoothly and being completed on time. You must have woodwork construction detailing experience. Our projects vary from commercial to high end residential. This is a fulltime position.

Key Responsibilities:
-Work closely with clients to understand their vision and execute every detail perfectly
-Prepare detailed shop drawings using AutoCAD
-Site survey for field dimensions
-Remain organized in order to manage multiple drawings at once
-Work closely with our foreman, office, and factory staff on all projects
-Oversee our projects to ensure everyone is working diligently to get the job done
-Follow up on every project from beginning to final punch list
-Report back to our owner with updates on drawings and our ongoing projects
-Maintain an excellent work environment
-Manage your personal work email to follow up with clients’ questions and requests and to give necessary updates

Requirements:
-Experience as a draftsperson preferred
-Experience as a project manager preferred
-Experience using AutoCAD is REQUIRED and must be very comfortable with it
-Woodwork construction detailing experience is REQUIRED
-Excellent computer skills
-Excellent phone etiquette 
-Excellent email etiquette
-Fluent in English verbally and written
-Knowledge of Spanish language is a PLUS
-Ability to work in a fast paced environment
-Ability to adapt and use discretion when needed
-Excellent customer service skills
-Excellent judgement and prioritizing ability
-Ability to lead and communicate efficiently
    "
Construction Project Manager,https://newyork.craigslist.org/que/egr/d/astoria-construction-project-manager/6845311405.html,"Long Island City, NY",TBD,full-time,"
        
We are an award winning Design + Build firm that specializes in high end interior renovations in Manhattan and Brooklyn.

We are looking for a skilled and experienced Project Manager - CAD or 2020 Design capability is must.

Qualifications:

-Knowledge of CAD or 2020 Design
-Attention to detail
-Accountable
-Ability to handle oversight of multiple projects
-Minimum 5 years in construction management
    "
ARCHITECTURAL MODEL MAKER,https://newyork.craigslist.org/mnh/egr/d/oswego-architectural-model-maker/6845344998.html,new haven,based on experience,full-time,"
        
Company: KMCA Location: New Haven, CT 
Job Description
KMCA, Inc., one of the nation’s most sophisticated and advanced model-making studios, is seeking both entry level or experienced model makers to join its team. 

If you have experience in architectural and/or engineering model making, proficiency in CAD/CAM software, experience in project management, skill in laser cutting and 3D printing, knowledge in CNC milling, we want to talk to you.   

Visit our website KMCA.com to learn more and see projects from around the world. 

    "
Architectural Drafter,https://newyork.craigslist.org/lgi/egr/d/huntington-station-architectural-drafter/6845408679.html,"Huntington Station, NY",Competitive Salary DOE,full-time,"
        
SBLM Long Island branch office of NYC based Architectural firm seeks motivated and talented staff for Architectural Drafter position.

Requirements:
• BA Arch or BS Arch degree required
• AutoCAD required (basic test at interview) Revit a plus
• Experience in retail, Educational and Healthcare project types a plus
• Excellent communication skills with ability to work well under deadlines

Compensation and Benefits:
• We offer a competitive salary and benefits package commensurate with experience, and a creative, innovative work environment. 
• Our benefits include Medical/Dental/Vision, 401K Plan, Personal Time Off, Paid Holidays, Long term Disability, Flexible Spending Plan, 
• Company Culture: learning and growth opportunities, rewarding projects, free educational ongoing learning

Interested candidates should forward their cover letter and resume 
Please include ""Architectural Draftsperson "" in the subject. No phone calls, please. 
Experience in Healthcare projects is a distinct plus.

    "
Associate Project Manager,https://newyork.craigslist.org/brx/egr/d/bronx-associate-project-manager/6845456748.html,Bronx,TBD,full-time,"
        
We are looking to bring on a new Associate Project Manager to work alongside our Project Management team in successfully building out all different size projects in New York while maintaining our strong business acumen.

Associate Project Managers are responsible for the total financial component of each project while the Project Managers are responsible for the specific building component of the project. 

Associate Project Managers are responsible for: 

Maintaining the financial component of a project

Work directly with engineers to confirm that we are installing the appropriate material for each project

Work with architects to confirm that we are installing the appropriate fixtures uniform to the design of the project

Communicating effectively to clients regarding all aspects of the project, specifically relating to finances, material, fixtures

Associate Project Managers need to have:

Strong writing skills

The ability to work well in a team oriented environment

Experience in Microsoft Office

    "
Project Manager (Architecture) for Real Estate firm,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager/6845815654.html,Midtown,open depending on experience,full-time,"
        
.  See job description below. 

Project Manager- Architecture  (NYC, Rockefeller Center Location)

Job Description:
Work directly under the supervision and direction of a Registered Architect on design, development, remodel and conversion projects across an international portfolio of multifamily and mixed-use properties.  Focus on management of design process and project delivery for institutional development and value add projects in the multifamily, mixed use and commercial sector.
 
Qualifications:
Minimum 5 years experience in architectural or construction management field preferred
Experience in Contract Administration phase of architectural projects a MUST
Organized – Ability to track multiple project schedules concurrently with a focus on critical path requirements.  Familiarity with digital organization and scheduling tools.  Proficiency with Outlook and Windows.
Self-motivated – interested in improving skills and expanding knowledge beyond the task at hand to grow professionally
Eager to learn – able to take specific direction with an aim towards understanding the ultimate goal of a task and its relationship to other tasks.
Diligent – Able to follow through on a task until its completion and ability to manage schedule and deadlines
Detail Oriented - Ability to identify the micro-elements that have a large impact on the desired outcome.  Ability to ensure accuracy of work product.
Collaborative – Inspired by working as part of a team with varied skill sets.  Interested in sharing with and learning from others.
Creative – Interest in architectural and interior design, and ability to contribute to its development
Practical – Ability to understand the critical paths necessary to achieve a result
Interested in Design and Real Estate Development/Management
 
Skills:
MS Word
MS Excel 
MS Project
MS Outlook
AutoCad 
Sketchup (preferred)
Adobe Suite/Photoshop (preferred)
Yardi (preferred)
 
 
Responsibilities (including but not limited to): 
 
1.	Coordinate with outside consultants and professionals on the design team to develop scope for capital improvement projects
2.	Manage contract documents prepared by outside consultants
3.	Contract Administration/Project Management assistance on in-house construction project delivery
4.	Preparation of AutoCAD drawings for site and development analysis, remodel projects, field updates, etc. . .
5.	Onsite review of project progress (occasional travel required)
6.	Provide regular status updates on project progress and report at monthly.
7.	Preparation of Sketchup models and interior renderings for in house design review and project development
8.	Assist with furniture and materials selection and procurement
9.	Interface with in house departments such as graphics and production for promotional content development
10.	Manage vendor accounts with material suppliers
11.	Assist in the development of departmental standards
12.	Coordinate with outside consultants
    "
Plumbing Estimator,https://newyork.craigslist.org/stn/egr/d/staten-island-plumbing-estimator/6845819029.html,"Staten Island, NY",Salary based on experience,full-time,"
        
Plumbing  Estimator
---------------------------------------------------------------------------------------------------------                                     


                                                         ADVERTISEMENT

Plumbing Estimator
	Seeking career minded individual with knowledge of Plumbing estimating or if  you have experience the plumbing industry, with Plumbing design or installation,
you owe it to yourself to come speak with us.  “An individual who is willing to learn and grow with our company.” If you are organized, efficient, detail-oriented and possess strong work ethic, this position could be the beginning of a great career.  We are looking for someone who wants to be a member of our team and work with us. 

About us: We are a successful 25 year old company located in Staten Island N.Y., We are in a growth mode and are in need of a full time estimator.  A great opportunity exists for the right person.  Come speak with us!

Position requirements:   Computers experience, strong desire to succeed, and a willingness to meet bid deadlines when necessary.

We offer: competitive pay, benefits, job security, steady employment and a friendly office environment. Come speak with us. You will be happy you did.



Skills/Experience
Industry Experience
Knowledge of Plumbing Design
Proficient with computers
Knowledge of Plumbing Installation
Knowledge of Estimating Software 
Submittal Packages
Purchasing/Buyout
Bid follow-up



Personal Traits
Strong desire to learn 
Independent worker
Take-charge individual
Good people skills-Verbally communicate well with customers/co-workers.
High energy
Reliable
Strong work ethic
Positive attitude
Highly organized and efficient
Detail oriented
Disciplined
Career-minded

Contact us:  cph@capitalplumbingsi.com
    "
"Sr, Mid & Jr MEP PM Engineers - All Trades",https://newyork.craigslist.org/mnh/egr/d/new-york-city-sr-mid-jr-mep-pm/6845838251.html,Midtown West,Commensurate with experience,full-time,"
        
Ettinger Engineering Associates is a premier MEP/FP consulting engineering firm located in midtown Manhattan. Since 1960, the firm has been partnering with select developers, architects, institutions and municipal agencies to provide exceptional building design and application services across a diverse set of building typologies. Currently we offer excellent career opportunities for multiple MEP project managers.  These positions will be integral to the day-to-day operation and success of our MEP consulting team and successful candidates will have the opportunity to lead MEP design scope on a wide range of projects and endeavors. These roles will involve excellent team building and growth potential for the right candidates.

1) Sr. Project/PM MEP Engineers - Mechanical, Electrical or Plumbing/Fire Protection
Currently, we offer excellent career opportunities for Senior Level MEP Engineers and Project Managers with demonstrated experience in coordinating and organizing the efforts of all MEP trades for a diverse set of projects.

Responsibilities associated with the position are:
-Providing and/or supervising MEP design within your trade(s) of expertise
-Leading larger multi-discipline teams and resources and effectively manage project scopes, budget and scheduling/deadlines
-Communicating with broader consultant team members (e.g., Architects, Structural Engineers, Lighting Consultants, etc.) and coordinating project levels items with this team
-Coordinating high-level project direction with firm Principals and coordinating internal team utilization and protocols with firm Engineering Management

General Qualifications include:
-A BS in Engineering, 12-15+ years of experience in both building design and project management
-EIT certificate and/or PE License preferred
-LEED GA/AP certification or similar a plus
-PMI PMP Certification or similar preferred
-REVIT & CAD experience required
-Must have demonstrated familiarity with NYC and NYS building codes
-Must be able to professionally represent the company to clients and agencies at meetings and through written correspondence.
-Must be able to demonstrate the ability to solve complex technical and project level problems
-Proficiency in MSOFFICE & Google Drive tools
-Must be organized, energetic and accountable
-Exceptional communication, writing and interpersonal skills
-Must be able to work overtime as needed to meet project deadlines
 
2) Jr. or Mid-Level Project/PM MEP Engineers - Mechanical, Electrical or Plumbing/Fire Protection
Currently, we offer excellent career opportunities for Junior or Mid-Level MEP Engineers and Project Managers with demonstrated experience in coordinating and organizing the efforts of all MEP trades for a diverse set of projects.

Responsibilities associated with the position are:
-Providing and/or supervising MEP design within your trade(s) of expertise
-Maintain day-to-day responsibility for assigned projects
-Leading multi-disciplinary teams/resources and effectively managing project scopes, budget and scheduling/deadlines
-Communicating with broader consultant team members (e.g., Architects, Structural Engineers, Lighting Consultants, etc.) and coordinating project levels items with this team
-Coordinating high-level project direction with firm Principals and coordinating internal team utilization and protocols with firm Engineering Management

General Qualifications include:
-A BS in Engineering
-Minimum of 3 years, but preferably 5+ years experience in an MEP/FP field.  Familiarity with design of multiple/all MEP trades is desired.  Some of this experience must have been in client facing capacity.
-EIT certificate and/or PE License preferred
-REVIT & CAD experience required
-Must have demonstrated familiarity with NYC and NYS building codes
-Must be able to professionally represent the company to clients and agencies at meetings and through written correspondence.
-Must be able to demonstrate the ability to solve complex technical and project level problems
-Proficiency in MSOFFICE & Google Drive tools
-Must be organized, energetic and accountable
-Exceptional communication, writing and interpersonal skills
-Must be able to work overtime as needed to meet project deadlines
 
 
If interested, please send resume labeled with first and last name with minimum salary requirements. Also include a brief description of your relevant experience associated with the position requirements.  

Candidates must be authorized to work in the United States. 

Visit our website at:


Read about our company culture at:


EEA is an Equal Opportunity Employer.
Recruiters, please don't contact this job poster.
do NOT contact us with unsolicited services or offers
    "
Plumbing/Fire Protection Engineering Department Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-city-plumbing-fire-protection/6845862032.html,Midtown West,Commensurate with experience,full-time,"
        
PLEASE SEND RESUME DIRECTLY TO:  resumes@ettingerengineering.com

Ettinger Engineering Associates is a premier MEP/FP consulting engineering firm located in midtown Manhattan. Since 1960, the firm has been partnering with select developers, architects, institutions and municipal agencies to provide exceptional building design and application services across a diverse set of building typologies. 

We are currently seeking a Senior Level Plumbing/Fire Protection Engineer with Departmental Management experience.  This position will be integral to the day-to-day operation and success of our MEP consulting team and successful candidates will have the opportunity to lead MEP design scope on a wide range of projects and endeavors. This roles will involve excellent team building and growth potential for the right candidates.

Responsibilities associated with the position are:
-Managing, assigning and leveling the daily workload of the Plumbing/Fire Protection department
-Develop and maintain the department’s technical standard library (details, specs, calculational methods, protocols, etc.)
-Maintain department technical quality and excellence through training initiatives
-Run department group meetings
-Support the growth and development of your reports through work assignments, team building, coaching/mentoring
-Support departmental hiring and staffing
-Work closely with firm’s principals in support of all the above
As time allows, this position will also afford the opportunity to:
-Provide directly and/or supervise MEP design on specific and/or dedicated projects
-Function as MEP project manager on select projects as make sense

General Qualifications include:
-A BS in Engineering, 12-15+ years of experience in both building design and personnel and/or project management
-EIT certificate and/or PE License preferred
-LEED GA/AP certification or similar a plus
-REVIT & CAD experience required
-Must have demonstrated familiarity with NYC and NYS building codes
-Must demonstrated experience managing medium and large size teams
-Must be able to demonstrate the ability to solve complex technical and project level problems
-Proficiency in MSOFFICE & Google Drive tools
-Must be organized, energetic and accountable
-Exceptional communication, writing and interpersonal skills
-Must be able to work overtime as needed to meet project deadlines

If interested, please send resume directly to resumes@ettingerengineering.com labeled with first and last name with minimum salary requirements. Also include a brief description of your relevant experience associated with the position requirements. 
Candidates must be authorized to work in the United States. 

Visit our website at:


Read about our company culture at:


EEA is an Equal Opportunity Employer.
Recruiters, please don't contact this job poster.
do NOT contact us with unsolicited services or offers
    "
Construction Site Supervisor/Manager,https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-site-supervisor/6845950130.html,Brooklyn,Please respond with asking starting Salary in Oybek,full-time,"
        
A dynamic, growth-oriented construction company G.C. serving the NYC metro market.

POSITION SUMMARY: 
Site Super with strong technical skills who can support the job and PM with expert advice about execution of all trades. Must be able to communicate with clients, as well workers. All site related coordination and scheduling.

ESSENTIAL ROLES and RESPONSIBILITIES
•	Careful review plans and specifications and comment
•	Review Contract and comment
•	Assist in bidding process 
•	Negotiate with vendors, suppliers, and subcontractors
•	Procurement 
•	Identify long lead time items, order materials, protect site, layout, provide take-offs
•	Overseeing Subcontractors
•	Creation and enforcement of project schedules to facilitate on-time completion
•	Coordination of Architects and Engineers 
•	Maintain strong working relationships with all professional groups (Architects, Engineers, Clients, and Subcontractors)
•	Coordinate sign-offs and inspections, make sure all project participants are on the same page and aware of the project status and responsibilities
•	Review Maintenance of building during construction
•	Develop Internal RFI/questions 
•	Process change orders
•	Schedule crew and subs, review subs P.O.'s 
•	Receive and review subcontractors Daily Reports of work done and labor and material employed. 
•	Maintain daily work logs and sign in/out sheets and verify that workers have the necessary union affiliations and safety training. 
•	Supervise daily project activities including but not limited to supervision of laborers, subcontractors and vendors.
•	Assist Project Manager in reviewing and approving the Subcontractor's monthly requests for payment. 
•	Conduct weekly coordination meetings and monthly safety meetings with subcontractors and prepare meeting minutes.
•	Hold weekly toolbox and safety meetings
•	Review Shop Drawings and schedules, take and submit meeting minutes, suggest agenda items
•	Review site and project plan with PM, prepare job status report
•	Plan and review construction Program with Project Manager including quality control procedures, work scheduling, safety and security practices.
•	Ensure that all required permits or licenses have been obtained
•	Must have knowledge of construction safety practices, codes and related issues
- Provide leadership to Site Staff and Trades
- Read and completely understand Construction Docs/Specifications in their entirety
- Manage Day-to-Day and weekly Site Labor/Trades work
- Assist in coordination of job schedule and creating sub-contractor schedules to ensure job is completed on-time and within budget
- Paperwork management to keep submittal, drawings, and other pertinent project information in order
- Prepare and keep daily reports / upload job site photographs in the computer software program documenting each day's activities
- Generate 2 week look ahead according to the Construction Schedule and maintaining of deadlines/milestones. Important as it may indicate potential delays of project.
- Keep Record of Daily Site Labor/Trade, Hours on site and task completion
- Receive and inventory deliveries (Submit Bills of Lading to PM's/APM's)
- Ensure that short term project delivery/completion dates are maintained. If not then communicate with PM/APM as to why expected dates are not being met
- Coordinate and communicate between trades/subcontractors to alleviate conflicts
- Maintain site safety/ perform weekly toolbox talks in regards to safe working habits
- Perform Quality Control on workmanship/materials/equipment
- Ensure proper site housekeeping/organization is maintained
- Ensure equipment/materials/fixtures are properly and securely stored to avoid damage, loss and theft
- Generate/Receive emails with PM's/APM's/Trades/Subcontractors/Suppliers
- Review and Approve all Trade Work Tickets if changes occur on site
- Generate material lists for ordering for site labor in a timely fashion and prior to actually needing on-site to perform work.
- Generate incident reports, if accident occurs and notify partners immediately

Job Type: Full-time

EDUCATION, EXPERIENCE AND SKILLS REQUIRED
Five (5)+ years industry experience (Commercial & Residential)
Must be hands on manager with excellent people skills as well as excellent written and verbal communication skills
Knowledge of industry and OSHA safety requirements
Able to read blueprints
Daily Reports, weekly, project meetings
Subcontractor day to day monitoring
Submittal process, RFI process
Skilled in multi-trade understandings
Excellent Computer Skills, MS Office suite of products, Dropbox, Adobe, etc.
Successful completion of in-house training
Able to work at a desk when necessary as well as strap on a tool belt when required

Experience:
Superintendent: 10 years (Required)
Construction: 10 years (Required)
License:
4 Hour Scaffold (Preferred)
30 Hour OSHA (Required)
Driver's License (Required)

Please respond with asking starting Salary in Oybek.
Principals only. Recruiters, please don't contact this job poster.
do NOT contact us with unsolicited services or offers    "
Cinema 4d render er,https://newyork.craigslist.org/que/egr/d/flushing-cinema-4d-render-er/6846289908.html,flushing,"$65,000 annually",full-time,"
        
Hello my name is Raul lead 3d manager of opus/mas designs.
I am looking for a 3d modeler and renderer that can work remotely from home.

requirement:
-portfolio work
-reasonable knowledge in cinema 4d

thank you    "
Heating Supply Wholesaler - open staff position,https://newyork.craigslist.org/mnh/egr/d/new-york-city-heating-supply-wholesaler/6846645880.html,Lower East Side,Competitive salary.,full-time,"
        
We are a heating supply wholesaler with an open position in our Lower East Side store. We sell heating equipment such as boilers, burners, and radiators, so if your resume does not list any previous work experience with heating products or systems, regretfully, we will not be reviewing or considering your application.

At present, we are looking for someone to answer phones (familiar with operating an 8x8 system), have up-to-date, competent office and computer skills (knowledge of AutoCAD an asset), and be very comfortable with smartphone applications (and have your own device).

Job responsibilities will include: answering phone inquiries, checking email, varied office work, manning the sales counter if needed, filling customer orders, some sales work, assisting senior team members with design projects, stocking shelves, and delivering product locally, when necessary.

If you live in, or close to the Lower East Side (either by walking or subway), be sure to note this in your application.

While we are approaching the end of the busy winter heating season, it is still cold outside, and we have little time to train on the job. So if you are a reliable, high-energy worker and only if you are qualified for this position, please submit a detailed work history and/or resume, and brief email introduction.

Thank you!    "
Autocad person wanted for immediate hire!!!,https://newyork.craigslist.org/que/egr/d/autocad-person-wanted-for-immediate-hire/6846653778.html,College point,Tbd,full-time,"
        
Zusto Architectural metal and glass company in Queens is seeking a full time auto cad designer and estimator for immediate start.

Must have experience in producing shop drawings for fabrication of all types of architectural projects. Some estimating, experience, ability to purchase materials off shop drawings and some office management of projects in progress.

Please only respond if you have experience in these areas!!!!!!!

This is a full time position Monday through Friday 
Serious inquiries only!!!

Salary to be determined upon experience 

Call Robert 917-417-5998
    "
